Year,Outperformed?,Interest Rate (Federal Funds Effective Rate),CPI,UnemploymentRate,GDPGrowthRate,GICS Sector,GICS Sub-Industry,Founded,Gender,CEO Transition,Tenure Bucket,HQ_US_State_or_Country,Salary_Bucket
2021,0,0.09,4.7,5.4,5.8,Industrials,Aerospace & Defense,2008,M,0.0,<= 2 years,Florida,"(15000000, 20000000]"
2022,1,0.08,8.0,3.6,1.9,Industrials,Aerospace & Defense,2008,M,0.0,2 to 5 years,Florida,"(15000000, 20000000]"
2023,0,4.33,3.2,3.5,2.5,Industrials,Aerospace & Defense,2008,M,0.0,2 to 5 years,Florida,"(15000000, 20000000]"
2015,0,0.11,0.1,5.3,2.9,Materials,Industrial Gases,1879,M,0.0,2 to 5 years,United Kingdom,"(10000000, 15000000]"
2016,1,0.34,1.3,4.9,1.8,Materials,Industrial Gases,1879,M,0.0,5 to 10 years,United Kingdom,"(10000000, 15000000]"
2017,1,0.65,2.1,4.4,2.5,Materials,Industrial Gases,1879,M,0.0,10+ years,United Kingdom,"(10000000, 15000000]"
2018,1,1.41,2.4,3.9,3.0,Materials,Industrial Gases,1879,M,0.0,10+ years,United Kingdom,"(10000000, 15000000]"
2019,1,2.4,1.8,3.7,2.5,Materials,Industrial Gases,1879,M,0.0,10+ years,United Kingdom,"(10000000, 15000000]"
2020,1,1.55,1.2,8.1,-2.2,Materials,Industrial Gases,1879,M,0.0,10+ years,United Kingdom,"(10000000, 15000000]"
2021,1,0.09,4.7,5.4,5.8,Materials,Industrial Gases,1879,M,0.0,10+ years,United Kingdom,"(10000000, 15000000]"
2022,1,0.08,8.0,3.6,1.9,Materials,Industrial Gases,1879,M,1.0,<= 2 years,United Kingdom,"(10000000, 15000000]"
2023,1,4.33,3.2,3.5,2.5,Materials,Industrial Gases,1879,M,0.0,<= 2 years,United Kingdom,"(10000000, 15000000]"
2015,1,0.11,0.1,5.3,2.9,Consumer Discretionary,Distributors,1998,M,0.0,<= 2 years,Illinois,"(10000000, 15000000]"
2016,0,0.34,1.3,4.9,1.8,Consumer Discretionary,Distributors,1998,M,0.0,2 to 5 years,Illinois,"(10000000, 15000000]"
2017,1,0.65,2.1,4.4,2.5,Consumer Discretionary,Distributors,1998,M,1.0,<= 2 years,Illinois,"(10000000, 15000000]"
2018,0,1.41,2.4,3.9,3.0,Consumer Discretionary,Distributors,1998,M,0.0,<= 2 years,Illinois,"(10000000, 15000000]"
2019,1,2.4,1.8,3.7,2.5,Consumer Discretionary,Distributors,1998,M,0.0,<= 2 years,Illinois,"(10000000, 15000000]"
2020,0,1.55,1.2,8.1,-2.2,Consumer Discretionary,Distributors,1998,M,0.0,2 to 5 years,Illinois,"(10000000, 15000000]"
2021,1,0.09,4.7,5.4,5.8,Consumer Discretionary,Distributors,1998,M,0.0,2 to 5 years,Illinois,"(10000000, 15000000]"
2022,1,0.08,8.0,3.6,1.9,Consumer Discretionary,Distributors,1998,M,0.0,2 to 5 years,Illinois,"(10000000, 15000000]"
2023,0,4.33,3.2,3.5,2.5,Consumer Discretionary,Distributors,1998,M,0.0,5 to 10 years,Illinois,"(10000000, 15000000]"
2015,1,0.11,0.1,5.3,2.9,Health Care,Pharmaceuticals,1876,M,0.0,5 to 10 years,Indiana,"(20000000, 25000000]"
2016,0,0.34,1.3,4.9,1.8,Health Care,Pharmaceuticals,1876,M,0.0,5 to 10 years,Indiana,"(20000000, 25000000]"
2017,0,0.65,2.1,4.4,2.5,Health Care,Pharmaceuticals,1876,M,1.0,<= 2 years,Indiana,"(20000000, 25000000]"
2018,1,1.41,2.4,3.9,3.0,Health Care,Pharmaceuticals,1876,M,0.0,<= 2 years,Indiana,"(20000000, 25000000]"
2019,0,2.4,1.8,3.7,2.5,Health Care,Pharmaceuticals,1876,M,0.0,<= 2 years,Indiana,"(20000000, 25000000]"
2020,1,1.55,1.2,8.1,-2.2,Health Care,Pharmaceuticals,1876,M,0.0,2 to 5 years,Indiana,"(20000000, 25000000]"
2021,1,0.09,4.7,5.4,5.8,Health Care,Pharmaceuticals,1876,M,0.0,2 to 5 years,Indiana,"(20000000, 25000000]"
2022,1,0.08,8.0,3.6,1.9,Health Care,Pharmaceuticals,1876,M,0.0,2 to 5 years,Indiana,"(20000000, 25000000]"
2023,1,4.33,3.2,3.5,2.5,Health Care,Pharmaceuticals,1876,M,0.0,5 to 10 years,Indiana,"(20000000, 25000000]"
2015,1,0.11,0.1,5.3,2.9,Industrials,Aerospace & Defense,1995,F,0.0,5 to 10 years,Maryland,"(20000000, 25000000]"
2016,1,0.34,1.3,4.9,1.8,Industrials,Aerospace & Defense,1995,F,0.0,2 to 5 years,Maryland,"(20000000, 25000000]"
2017,1,0.65,2.1,4.4,2.5,Industrials,Aerospace & Defense,1995,F,0.0,2 to 5 years,Maryland,"(20000000, 25000000]"
2018,0,1.41,2.4,3.9,3.0,Industrials,Aerospace & Defense,1995,F,0.0,2 to 5 years,Maryland,"(20000000, 25000000]"
2019,1,2.4,1.8,3.7,2.5,Industrials,Aerospace & Defense,1995,F,0.0,5 to 10 years,Maryland,"(20000000, 25000000]"
2020,0,1.55,1.2,8.1,-2.2,Industrials,Aerospace & Defense,1995,M,1.0,<= 2 years,Maryland,"(20000000, 25000000]"
2021,0,0.09,4.7,5.4,5.8,Industrials,Aerospace & Defense,1995,M,0.0,<= 2 years,Maryland,"(20000000, 25000000]"
2022,1,0.08,8.0,3.6,1.9,Industrials,Aerospace & Defense,1995,M,0.0,<= 2 years,Maryland,"(20000000, 25000000]"
2023,0,4.33,3.2,3.5,2.5,Industrials,Aerospace & Defense,1995,M,0.0,2 to 5 years,Maryland,"(20000000, 25000000]"
2015,0,0.11,0.1,5.3,2.9,Utilities,Electric Utilities,1917,F,0.0,2 to 5 years,Wisconsin,"(5000000, 10000000]"
2016,1,0.34,1.3,4.9,1.8,Utilities,Electric Utilities,1917,F,0.0,2 to 5 years,Wisconsin,"(5000000, 10000000]"
2017,0,0.65,2.1,4.4,2.5,Utilities,Electric Utilities,1917,F,0.0,2 to 5 years,Wisconsin,"(5000000, 10000000]"
2018,1,1.41,2.4,3.9,3.0,Utilities,Electric Utilities,1917,F,0.0,5 to 10 years,Wisconsin,"(5000000, 10000000]"
2019,0,2.4,1.8,3.7,2.5,Utilities,Electric Utilities,1917,M,1.0,<= 2 years,Wisconsin,"(5000000, 10000000]"
2020,0,1.55,1.2,8.1,-2.2,Utilities,Electric Utilities,1917,M,0.0,<= 2 years,Wisconsin,"(5000000, 10000000]"
2021,0,0.09,4.7,5.4,5.8,Utilities,Electric Utilities,1917,M,0.0,<= 2 years,Wisconsin,"(5000000, 10000000]"
2022,1,0.08,8.0,3.6,1.9,Utilities,Electric Utilities,1917,M,0.0,2 to 5 years,Wisconsin,"(5000000, 10000000]"
2023,0,4.33,3.2,3.5,2.5,Utilities,Electric Utilities,1917,M,0.0,2 to 5 years,Wisconsin,"(5000000, 10000000]"
2015,1,0.11,0.1,5.3,2.9,Consumer Discretionary,Home Improvement Retail,1904/1946/1959,M,0.0,2 to 5 years,North Carolina,"(15000000, 20000000]"
2016,0,0.34,1.3,4.9,1.8,Consumer Discretionary,Home Improvement Retail,1904/1946/1959,M,0.0,10+ years,North Carolina,"(15000000, 20000000]"
2017,1,0.65,2.1,4.4,2.5,Consumer Discretionary,Home Improvement Retail,1904/1946/1959,M,0.0,10+ years,North Carolina,"(15000000, 20000000]"
2018,1,1.41,2.4,3.9,3.0,Consumer Discretionary,Home Improvement Retail,1904/1946/1959,M,1.0,<= 2 years,North Carolina,"(15000000, 20000000]"
2019,1,2.4,1.8,3.7,2.5,Consumer Discretionary,Home Improvement Retail,1904/1946/1959,M,0.0,<= 2 years,North Carolina,"(15000000, 20000000]"
2020,1,1.55,1.2,8.1,-2.2,Consumer Discretionary,Home Improvement Retail,1904/1946/1959,M,0.0,<= 2 years,North Carolina,"(15000000, 20000000]"
2021,1,0.09,4.7,5.4,5.8,Consumer Discretionary,Home Improvement Retail,1904/1946/1959,M,0.0,2 to 5 years,North Carolina,"(15000000, 20000000]"
2022,0,0.08,8.0,3.6,1.9,Consumer Discretionary,Home Improvement Retail,1904/1946/1959,M,0.0,2 to 5 years,North Carolina,"(15000000, 20000000]"
2023,0,4.33,3.2,3.5,2.5,Consumer Discretionary,Home Improvement Retail,1904/1946/1959,M,0.0,2 to 5 years,North Carolina,"(15000000, 20000000]"
2015,1,0.11,0.1,5.3,2.9,Information Technology,Semiconductor Materials & Equipment,1980,M,0.0,5 to 10 years,California,"(15000000, 20000000]"
2016,1,0.34,1.3,4.9,1.8,Information Technology,Semiconductor Materials & Equipment,1980,M,1.0,<= 2 years,California,"(15000000, 20000000]"
2017,1,0.65,2.1,4.4,2.5,Information Technology,Semiconductor Materials & Equipment,1980,M,0.0,<= 2 years,California,"(15000000, 20000000]"
2018,0,1.41,2.4,3.9,3.0,Information Technology,Semiconductor Materials & Equipment,1980,M,0.0,<= 2 years,California,"(15000000, 20000000]"
2019,1,2.4,1.8,3.7,2.5,Information Technology,Semiconductor Materials & Equipment,1980,M,0.0,2 to 5 years,California,"(15000000, 20000000]"
2020,1,1.55,1.2,8.1,-2.2,Information Technology,Semiconductor Materials & Equipment,1980,M,0.0,2 to 5 years,California,"(15000000, 20000000]"
2021,1,0.09,4.7,5.4,5.8,Information Technology,Semiconductor Materials & Equipment,1980,M,0.0,2 to 5 years,California,"(15000000, 20000000]"
2022,0,0.08,8.0,3.6,1.9,Information Technology,Semiconductor Materials & Equipment,1980,M,0.0,5 to 10 years,California,"(15000000, 20000000]"
2023,1,4.33,3.2,3.5,2.5,Information Technology,Semiconductor Materials & Equipment,1980,M,0.0,5 to 10 years,California,"(15000000, 20000000]"
2015,0,0.11,0.1,5.3,2.9,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1998,M,0.0,5 to 10 years,Canada,"(15000000, 20000000]"
2016,1,0.34,1.3,4.9,1.8,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1998,M,0.0,<= 2 years,Canada,"(15000000, 20000000]"
2017,1,0.65,2.1,4.4,2.5,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1998,M,0.0,2 to 5 years,Canada,"(15000000, 20000000]"
2018,1,1.41,2.4,3.9,3.0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1998,M,1.0,<= 2 years,Canada,"(15000000, 20000000]"
2019,1,2.4,1.8,3.7,2.5,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1998,M,0.0,<= 2 years,Canada,"(15000000, 20000000]"
2020,1,1.55,1.2,8.1,-2.2,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1998,M,0.0,<= 2 years,Canada,"(15000000, 20000000]"
2021,0,0.09,4.7,5.4,5.8,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1998,M,0.0,2 to 5 years,Canada,"(15000000, 20000000]"
2022,1,0.08,8.0,3.6,1.9,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1998,M,0.0,2 to 5 years,Canada,"(15000000, 20000000]"
2023,1,4.33,3.2,3.5,2.5,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1998,M,0.0,2 to 5 years,Canada,"(15000000, 20000000]"
2015,1,0.11,0.1,5.3,2.9,Industrials,Passenger Airlines,1967,M,0.0,5 to 10 years,Texas,"(5000000, 10000000]"
2016,1,0.34,1.3,4.9,1.8,Industrials,Passenger Airlines,1967,M,0.0,<= 2 years,Texas,"(5000000, 10000000]"
2017,1,0.65,2.1,4.4,2.5,Industrials,Passenger Airlines,1967,M,0.0,2 to 5 years,Texas,"(5000000, 10000000]"
2018,0,1.41,2.4,3.9,3.0,Industrials,Passenger Airlines,1967,M,0.0,2 to 5 years,Texas,"(5000000, 10000000]"
2019,0,2.4,1.8,3.7,2.5,Industrials,Passenger Airlines,1967,M,0.0,2 to 5 years,Texas,"(5000000, 10000000]"
2020,0,1.55,1.2,8.1,-2.2,Industrials,Passenger Airlines,1967,M,0.0,5 to 10 years,Texas,"(5000000, 10000000]"
2021,0,0.09,4.7,5.4,5.8,Industrials,Passenger Airlines,1967,M,0.0,5 to 10 years,Texas,"(5000000, 10000000]"
2022,0,0.08,8.0,3.6,1.9,Industrials,Passenger Airlines,1967,M,1.0,<= 2 years,Texas,"(5000000, 10000000]"
2023,0,4.33,3.2,3.5,2.5,Industrials,Passenger Airlines,1967,M,0.0,<= 2 years,Texas,"(5000000, 10000000]"
2015,0,0.11,0.1,5.3,2.9,Consumer Discretionary,Casinos & Gaming,1988,M,0.0,<= 2 years,Nevada,"(10000000, 15000000]"
2016,1,0.34,1.3,4.9,1.8,Consumer Discretionary,Casinos & Gaming,1988,M,0.0,<= 2 years,Nevada,"(10000000, 15000000]"
2017,1,0.65,2.1,4.4,2.5,Consumer Discretionary,Casinos & Gaming,1988,M,0.0,2 to 5 years,Nevada,"(10000000, 15000000]"
2018,0,1.41,2.4,3.9,3.0,Consumer Discretionary,Casinos & Gaming,1988,M,0.0,2 to 5 years,Nevada,"(10000000, 15000000]"
2019,1,2.4,1.8,3.7,2.5,Consumer Discretionary,Casinos & Gaming,1988,M,0.0,2 to 5 years,Nevada,"(10000000, 15000000]"
2020,0,1.55,1.2,8.1,-2.2,Consumer Discretionary,Casinos & Gaming,1988,M,0.0,5 to 10 years,Nevada,"(10000000, 15000000]"
2021,0,0.09,4.7,5.4,5.8,Consumer Discretionary,Casinos & Gaming,1988,M,0.0,5 to 10 years,Nevada,"(10000000, 15000000]"
2022,1,0.08,8.0,3.6,1.9,Consumer Discretionary,Casinos & Gaming,1988,M,0.0,5 to 10 years,Nevada,"(10000000, 15000000]"
2023,0,4.33,3.2,3.5,2.5,Consumer Discretionary,Casinos & Gaming,1988,M,0.0,5 to 10 years,Nevada,"(10000000, 15000000]"
2016,1,0.34,1.3,4.9,1.8,Consumer Staples,Packaged Foods & Meats,2018,M,1.0,<= 2 years,Idaho,"(20000000, 25000000]"
2017,1,0.65,2.1,4.4,2.5,Consumer Staples,Packaged Foods & Meats,2018,M,0.0,<= 2 years,Idaho,"(20000000, 25000000]"
2018,1,1.41,2.4,3.9,3.0,Consumer Staples,Packaged Foods & Meats,2018,M,0.0,<= 2 years,Idaho,"(20000000, 25000000]"
2019,0,2.4,1.8,3.7,2.5,Consumer Staples,Packaged Foods & Meats,2018,M,0.0,2 to 5 years,Idaho,"(20000000, 25000000]"
2020,0,1.55,1.2,8.1,-2.2,Consumer Staples,Packaged Foods & Meats,2018,M,0.0,2 to 5 years,Idaho,"(20000000, 25000000]"
2021,0,0.09,4.7,5.4,5.8,Consumer Staples,Packaged Foods & Meats,2018,M,0.0,2 to 5 years,Idaho,"(20000000, 25000000]"
2022,1,0.08,8.0,3.6,1.9,Consumer Staples,Packaged Foods & Meats,2018,M,0.0,5 to 10 years,Idaho,"(20000000, 25000000]"
2023,0,4.33,3.2,3.5,2.5,Consumer Staples,Packaged Foods & Meats,2018,M,0.0,5 to 10 years,Idaho,"(20000000, 25000000]"
2015,1,0.11,0.1,5.3,2.9,Materials,Specialty Chemicals,2007,M,1.0,<= 2 years,Netherlands,"(15000000, 20000000]"
2016,0,0.34,1.3,4.9,1.8,Materials,Specialty Chemicals,2007,M,0.0,<= 2 years,Netherlands,"(15000000, 20000000]"
2017,1,0.65,2.1,4.4,2.5,Materials,Specialty Chemicals,2007,M,0.0,<= 2 years,Netherlands,"(15000000, 20000000]"
2018,0,1.41,2.4,3.9,3.0,Materials,Specialty Chemicals,2007,M,0.0,2 to 5 years,Netherlands,"(15000000, 20000000]"
2019,0,2.4,1.8,3.7,2.5,Materials,Specialty Chemicals,2007,M,0.0,2 to 5 years,Netherlands,"(15000000, 20000000]"
2020,0,1.55,1.2,8.1,-2.2,Materials,Specialty Chemicals,2007,M,0.0,2 to 5 years,Netherlands,"(15000000, 20000000]"
2021,0,0.09,4.7,5.4,5.8,Materials,Specialty Chemicals,2007,M,0.0,5 to 10 years,Netherlands,"(15000000, 20000000]"
2022,1,0.08,8.0,3.6,1.9,Materials,Specialty Chemicals,2007,M,1.0,<= 2 years,Netherlands,"(15000000, 20000000]"
2023,0,4.33,3.2,3.5,2.5,Materials,Specialty Chemicals,2007,M,0.0,<= 2 years,Netherlands,"(15000000, 20000000]"
2015,0,0.11,0.1,5.3,2.9,Communication Services,Movies & Entertainment,2010,M,0.0,<= 2 years,California,"(50000000, 300000000]"
2016,1,0.34,1.3,4.9,1.8,Communication Services,Movies & Entertainment,2010,M,0.0,10+ years,California,"(50000000, 300000000]"
2017,1,0.65,2.1,4.4,2.5,Communication Services,Movies & Entertainment,2010,M,0.0,10+ years,California,"(50000000, 300000000]"
2018,1,1.41,2.4,3.9,3.0,Communication Services,Movies & Entertainment,2010,M,0.0,10+ years,California,"(50000000, 300000000]"
2019,1,2.4,1.8,3.7,2.5,Communication Services,Movies & Entertainment,2010,M,0.0,10+ years,California,"(50000000, 300000000]"
2020,0,1.55,1.2,8.1,-2.2,Communication Services,Movies & Entertainment,2010,M,0.0,10+ years,California,"(50000000, 300000000]"
2021,1,0.09,4.7,5.4,5.8,Communication Services,Movies & Entertainment,2010,M,0.0,10+ years,California,"(50000000, 300000000]"
2022,0,0.08,8.0,3.6,1.9,Communication Services,Movies & Entertainment,2010,M,0.0,10+ years,California,"(50000000, 300000000]"
2023,1,4.33,3.2,3.5,2.5,Communication Services,Movies & Entertainment,2010,M,0.0,10+ years,California,"(50000000, 300000000]"
2015,1,0.11,0.1,5.3,2.9,Financials,Transaction & Payment Processing Services,1966,M,0.0,10+ years,New York,"(20000000, 25000000]"
2016,0,0.34,1.3,4.9,1.8,Financials,Transaction & Payment Processing Services,1966,M,0.0,5 to 10 years,New York,"(20000000, 25000000]"
2017,1,0.65,2.1,4.4,2.5,Financials,Transaction & Payment Processing Services,1966,M,0.0,5 to 10 years,New York,"(20000000, 25000000]"
2018,1,1.41,2.4,3.9,3.0,Financials,Transaction & Payment Processing Services,1966,M,0.0,5 to 10 years,New York,"(20000000, 25000000]"
2019,1,2.4,1.8,3.7,2.5,Financials,Transaction & Payment Processing Services,1966,M,0.0,5 to 10 years,New York,"(20000000, 25000000]"
2020,1,1.55,1.2,8.1,-2.2,Financials,Transaction & Payment Processing Services,1966,M,0.0,5 to 10 years,New York,"(20000000, 25000000]"
2021,0,0.09,4.7,5.4,5.8,Financials,Transaction & Payment Processing Services,1966,M,1.0,<= 2 years,New York,"(20000000, 25000000]"
2022,1,0.08,8.0,3.6,1.9,Financials,Transaction & Payment Processing Services,1966,M,0.0,<= 2 years,New York,"(20000000, 25000000]"
2023,0,4.33,3.2,3.5,2.5,Financials,Transaction & Payment Processing Services,1966,M,0.0,<= 2 years,New York,"(20000000, 25000000]"
2015,1,0.11,0.1,5.3,2.9,Real Estate,Multi-Family Residential REITs,1977,M,0.0,2 to 5 years,Tennessee,"(5000000, 10000000]"
2016,0,0.34,1.3,4.9,1.8,Real Estate,Multi-Family Residential REITs,1977,M,0.0,10+ years,Tennessee,"(5000000, 10000000]"
2017,0,0.65,2.1,4.4,2.5,Real Estate,Multi-Family Residential REITs,1977,M,0.0,10+ years,Tennessee,"(5000000, 10000000]"
2018,1,1.41,2.4,3.9,3.0,Real Estate,Multi-Family Residential REITs,1977,M,0.0,10+ years,Tennessee,"(5000000, 10000000]"
2019,1,2.4,1.8,3.7,2.5,Real Estate,Multi-Family Residential REITs,1977,M,0.0,10+ years,Tennessee,"(5000000, 10000000]"
2020,0,1.55,1.2,8.1,-2.2,Real Estate,Multi-Family Residential REITs,1977,M,0.0,10+ years,Tennessee,"(5000000, 10000000]"
2021,1,0.09,4.7,5.4,5.8,Real Estate,Multi-Family Residential REITs,1977,M,0.0,10+ years,Tennessee,"(5000000, 10000000]"
2022,0,0.08,8.0,3.6,1.9,Real Estate,Multi-Family Residential REITs,1977,M,0.0,10+ years,Tennessee,"(5000000, 10000000]"
2023,0,4.33,3.2,3.5,2.5,Real Estate,Multi-Family Residential REITs,1977,M,0.0,10+ years,Tennessee,"(5000000, 10000000]"
2015,0,0.11,0.1,5.3,2.9,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1927,M,0.0,10+ years,Maryland,"(15000000, 20000000]"
2016,1,0.34,1.3,4.9,1.8,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1927,M,0.0,5 to 10 years,Maryland,"(15000000, 20000000]"
2017,1,0.65,2.1,4.4,2.5,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1927,M,0.0,5 to 10 years,Maryland,"(15000000, 20000000]"
2018,0,1.41,2.4,3.9,3.0,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1927,M,0.0,5 to 10 years,Maryland,"(15000000, 20000000]"
2019,1,2.4,1.8,3.7,2.5,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1927,M,0.0,5 to 10 years,Maryland,"(15000000, 20000000]"
2020,0,1.55,1.2,8.1,-2.2,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1927,M,0.0,5 to 10 years,Maryland,"(15000000, 20000000]"
2021,0,0.09,4.7,5.4,5.8,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1927,M,1.0,<= 2 years,Maryland,"(15000000, 20000000]"
2022,1,0.08,8.0,3.6,1.9,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1927,M,0.0,<= 2 years,Maryland,"(15000000, 20000000]"
2023,1,4.33,3.2,3.5,2.5,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1927,M,0.0,<= 2 years,Maryland,"(15000000, 20000000]"
2015,1,0.11,0.1,5.3,2.9,Industrials,Building Products,1929,M,0.0,2 to 5 years,Michigan,"(5000000, 10000000]"
2016,1,0.34,1.3,4.9,1.8,Industrials,Building Products,1929,M,0.0,2 to 5 years,Michigan,"(5000000, 10000000]"
2017,1,0.65,2.1,4.4,2.5,Industrials,Building Products,1929,M,0.0,5 to 10 years,Michigan,"(5000000, 10000000]"
2018,0,1.41,2.4,3.9,3.0,Industrials,Building Products,1929,M,0.0,5 to 10 years,Michigan,"(5000000, 10000000]"
2019,1,2.4,1.8,3.7,2.5,Industrials,Building Products,1929,M,0.0,5 to 10 years,Michigan,"(5000000, 10000000]"
2020,0,1.55,1.2,8.1,-2.2,Industrials,Building Products,1929,M,0.0,5 to 10 years,Michigan,"(5000000, 10000000]"
2021,1,0.09,4.7,5.4,5.8,Industrials,Building Products,1929,M,0.0,5 to 10 years,Michigan,"(5000000, 10000000]"
2022,0,0.08,8.0,3.6,1.9,Industrials,Building Products,1929,M,0.0,10+ years,Michigan,"(5000000, 10000000]"
2023,1,4.33,3.2,3.5,2.5,Industrials,Building Products,1929,M,0.0,10+ years,Michigan,"(5000000, 10000000]"
2015,1,0.11,0.1,5.3,2.9,Consumer Discretionary,Restaurants,1940,M,1.0,<= 2 years,Illinois,"(15000000, 20000000]"
2016,0,0.34,1.3,4.9,1.8,Consumer Discretionary,Restaurants,1940,M,0.0,<= 2 years,Illinois,"(15000000, 20000000]"
2017,1,0.65,2.1,4.4,2.5,Consumer Discretionary,Restaurants,1940,M,0.0,<= 2 years,Illinois,"(15000000, 20000000]"
2018,1,1.41,2.4,3.9,3.0,Consumer Discretionary,Restaurants,1940,M,0.0,2 to 5 years,Illinois,"(15000000, 20000000]"
2019,0,2.4,1.8,3.7,2.5,Consumer Discretionary,Restaurants,1940,M,1.0,<= 2 years,Illinois,"(15000000, 20000000]"
2020,0,1.55,1.2,8.1,-2.2,Consumer Discretionary,Restaurants,1940,M,0.0,<= 2 years,Illinois,"(15000000, 20000000]"
2021,0,0.09,4.7,5.4,5.8,Consumer Discretionary,Restaurants,1940,M,0.0,<= 2 years,Illinois,"(15000000, 20000000]"
2022,1,0.08,8.0,3.6,1.9,Consumer Discretionary,Restaurants,1940,M,0.0,2 to 5 years,Illinois,"(15000000, 20000000]"
2023,0,4.33,3.2,3.5,2.5,Consumer Discretionary,Restaurants,1940,M,0.0,2 to 5 years,Illinois,"(15000000, 20000000]"
2015,1,0.11,0.1,5.3,2.9,Information Technology,Semiconductors,1989,M,0.0,2 to 5 years,Arizona,"(10000000, 15000000]"
2016,1,0.34,1.3,4.9,1.8,Information Technology,Semiconductors,1989,M,0.0,10+ years,Arizona,"(10000000, 15000000]"
2017,1,0.65,2.1,4.4,2.5,Information Technology,Semiconductors,1989,M,0.0,10+ years,Arizona,"(10000000, 15000000]"
2018,0,1.41,2.4,3.9,3.0,Information Technology,Semiconductors,1989,M,0.0,10+ years,Arizona,"(10000000, 15000000]"
2019,1,2.4,1.8,3.7,2.5,Information Technology,Semiconductors,1989,M,0.0,10+ years,Arizona,"(10000000, 15000000]"
2020,1,1.55,1.2,8.1,-2.2,Information Technology,Semiconductors,1989,M,0.0,10+ years,Arizona,"(10000000, 15000000]"
2021,0,0.09,4.7,5.4,5.8,Information Technology,Semiconductors,1989,M,1.0,<= 2 years,Arizona,"(10000000, 15000000]"
2022,0,0.08,8.0,3.6,1.9,Information Technology,Semiconductors,1989,M,0.0,<= 2 years,Arizona,"(10000000, 15000000]"
2023,1,4.33,3.2,3.5,2.5,Information Technology,Semiconductors,1989,M,0.0,<= 2 years,Arizona,"(10000000, 15000000]"
2015,0,0.11,0.1,5.3,2.9,Health Care,Health Care Distributors,1833,M,0.0,2 to 5 years,Texas,"(20000000, 25000000]"
2016,0,0.34,1.3,4.9,1.8,Health Care,Health Care Distributors,1833,M,0.0,10+ years,Texas,"(20000000, 25000000]"
2017,0,0.65,2.1,4.4,2.5,Health Care,Health Care Distributors,1833,M,0.0,10+ years,Texas,"(20000000, 25000000]"
2018,0,1.41,2.4,3.9,3.0,Health Care,Health Care Distributors,1833,M,0.0,10+ years,Texas,"(20000000, 25000000]"
2019,0,2.4,1.8,3.7,2.5,Health Care,Health Care Distributors,1833,M,1.0,<= 2 years,Texas,"(20000000, 25000000]"
2020,1,1.55,1.2,8.1,-2.2,Health Care,Health Care Distributors,1833,M,0.0,<= 2 years,Texas,"(20000000, 25000000]"
2021,1,0.09,4.7,5.4,5.8,Health Care,Health Care Distributors,1833,M,0.0,<= 2 years,Texas,"(20000000, 25000000]"
2022,1,0.08,8.0,3.6,1.9,Health Care,Health Care Distributors,1833,M,0.0,2 to 5 years,Texas,"(20000000, 25000000]"
2023,1,4.33,3.2,3.5,2.5,Health Care,Health Care Distributors,1833,M,0.0,2 to 5 years,Texas,"(20000000, 25000000]"
2015,1,0.11,0.1,5.3,2.9,Financials,Financial Exchanges & Data,1909,M,0.0,2 to 5 years,New York,"(10000000, 15000000]"
2016,0,0.34,1.3,4.9,1.8,Financials,Financial Exchanges & Data,1909,M,0.0,10+ years,New York,"(10000000, 15000000]"
2017,1,0.65,2.1,4.4,2.5,Financials,Financial Exchanges & Data,1909,M,0.0,10+ years,New York,"(10000000, 15000000]"
2018,1,1.41,2.4,3.9,3.0,Financials,Financial Exchanges & Data,1909,M,0.0,10+ years,New York,"(10000000, 15000000]"
2019,1,2.4,1.8,3.7,2.5,Financials,Financial Exchanges & Data,1909,M,0.0,10+ years,New York,"(10000000, 15000000]"
2020,1,1.55,1.2,8.1,-2.2,Financials,Financial Exchanges & Data,1909,M,1.0,<= 2 years,New York,"(10000000, 15000000]"
2021,1,0.09,4.7,5.4,5.8,Financials,Financial Exchanges & Data,1909,M,0.0,<= 2 years,New York,"(10000000, 15000000]"
2022,0,0.08,8.0,3.6,1.9,Financials,Financial Exchanges & Data,1909,M,0.0,2 to 5 years,New York,"(10000000, 15000000]"
2023,1,4.33,3.2,3.5,2.5,Financials,Financial Exchanges & Data,1909,M,0.0,2 to 5 years,New York,"(10000000, 15000000]"
2015,1,0.11,0.1,5.3,2.9,Consumer Staples,Packaged Foods & Meats,2012,F,0.0,2 to 5 years,Illinois,"(15000000, 20000000]"
